YEAR_REGISTERED,YEAR_EVALUATED,YEAR_BUILT,PROPERTY_TYPE,WARD,WARDNAME,SITE_ADDRESS,CONFIRMED_STOREYS,CONFIRMED_UNITS,SCORE
2018,2018,2017,PRIVATE,17,Don Valley North,123 PARKWAY FOREST DR,20,188,99
2017,2018,1895,PRIVATE,11,University-Rosedale,88 OXFORD ST,4,11,63
2017,2018,1960,SOCIAL HOUSING,11,University-Rosedale,25 LEONARD AVE,6,77,73
2017,2018,1964,PRIVATE,20,Scarborough Southwest,1065 VICTORIA PARK AVE,6,37,76
2017,2018,1950,PRIVATE,12,Toronto-St. Paul's,117 OLD FOREST HILL RD,3,28,81
2017,2018,1967,PRIVATE,12,Toronto-St. Paul's,130 OLD FOREST HILL RD,6,42,83
2017,2018,1930,PRIVATE,12,Toronto-St. Paul's,26 BALMORAL AVE,3,28,71
2017,2018,1923,PRIVATE,12,Toronto-St. Paul's,1602 BATHURST ST,4,32,74
2017,2018,1950,PRIVATE,12,Toronto-St. Paul's,1654 BATHURST ST,5,72,86
2017,2018,1931,PRIVATE,12,Toronto-St. Paul's,394 AVENUE RD,6,41,75
2017,2018,1931,PRIVATE,12,Toronto-St. Paul's,396 AVENUE RD,6,51,73
2017,2018,1937,PRIVATE,12,Toronto-St. Paul's,398 AVENUE RD,6,39,74
2017,2018,1969,PRIVATE,20,Scarborough Southwest,544 BIRCHMOUNT RD,11,131,80
2017,2018,1974,PRIVATE,20,Scarborough Southwest,552 BIRCHMOUNT RD,7,61,74
2017,2018,1972,PRIVATE,20,Scarborough Southwest,560 BIRCHMOUNT RD,13,103,79
2017,2018,1969,PRIVATE,20,Scarborough Southwest,570 BIRCHMOUNT RD,10,112,79
2017,2018,1949,PRIVATE,12,Toronto-St. Paul's,1996 BATHURST ST,4,39,66
2017,2018,1954,PRIVATE,12,Toronto-St. Paul's,1998 BATHURST ST,3,19,66
